Paper ID,Title,Authors,Year,Publication Date,Venue,Citation Count,Source Database,Abstract,URL
f03912af632a587e7feafb002892265e08f84b54,"AI anxiety and fear: A look at perspectives of information science students and professionals towards artificial intelligence","Brady D. Lund; Nishith Reddy Mannuru; Daniel A. Agbaji",2024,2024-10-08,"Journal of information science",16,Semantic Scholar,"The rapid integration of artificial intelligence (AI) within society and the emergence of the fourth industrial revolution (4IR), has ignited a spectrum of emotions in society, ranging from enthusiasm to anxiety. This study investigates the depths of AI anxiety and fear among a population of information science students and professionals. Utilising a survey of over 200 current students and professionals, this study explores the connections between age, gender identity, ethnicity, geographic location, educational attainment and residence, and the levels of anxiety and fear associated with AI and the 4IR. The findings reveal nuanced relationships, with age, ethnicity, academic achievement and regional context serving as critical differentiators in 4IR and AI anxiety within this population. Students and professionals alike may benefit from seeking further education about this emerging technology.",https://www.semanticscholar.org/paper/f03912af632a587e7feafb002892265e08f84b54
fefc54822d6925abee158cecf187c5f522f5273c,"Can digital leadership transform AI anxiety and attitude in nurses?","Sinan Tarsuslu; Ferhat Onur Ağaoğlu; Murat Baş",2024,2024-07-31,"Journal of Nursing Scholarship",28,Semantic Scholar,"Abstract Background The lack of artificial intelligence applications in nursing education and the nursing profession in Turkey and the need for strategies for integrating artificial intelligence into the nursing profession continues. At this point, there is a need to transform the negative attitudes and anxiety that may occur in nurses. Objectives It was aimed to reorganize the professional transformation in this parallel by analyzing the effect of digital leadership perception, which is explained as how nurses approach digital technologies and innovations and their awareness of how and with which methods they can use these technologies on artificial intelligence anxiety and attitude in the nursing profession. Design The study was designed as descriptive, correlational, and cross‐sectional. Participants The research was conducted by reaching 439 nurses working in hospitals operating in three different regions of Turkey by simple random sampling method. Methods In the first part of the data collection tool used in this study, digital leadership scale, artificial intelligence use anxiety, and artificial intelligence attitude scales were used, including questions determining the demographic information of nurses, their relationship with technology, artificial intelligence usage status and its importance in the profession. Results It was determined that 29.8% of the nurses had a good relationship with technology, 66.3% knew about using artificial intelligence in health, and 27.3% wanted it to be more involved in their lives. It was determined that nurses' perceptions of digital leadership were at a medium level of 46.9% and a high level of 41.7%, 82.7% had a positive attitude towards artificial intelligence, and 82.7% had low or medium level anxiety when their artificial intelligence anxiety status was examined. There was a significant and negative relationship between digital leadership and AI anxiety (r = −0.434; p < 0.01), a significant and positive relationship between digital leadership and AI attitude (r = 0.468; p < 0.01), and a significant and negative relationship between AI attitude and AI anxiety (r = −0.629; p < 0.01). Finally, it was determined that nurses' perception of digital leadership indirectly affected AI anxiety through AI attitude (β = −0.230, 95% CI [−0.298, −0.165]). Conclusion It is suggested that the anxiety and attitude towards artificial intelligence can be transformed positively with the effect of digital leadership, and in this parallel, the digital leadership phenomenon should be evaluated as a practical implementation strategy in integrating artificial intelligence into the nursing profession. Clinical Relevance Our study showed that artificial intelligence attitude has a mediating role in the indirect effect of the perception of digital leadership in nursing on AI anxiety. It was determined that nurses' digital leadership perception, artificial intelligence anxiety, and artificial intelligence attitude differed significantly with demographic variables.",https://www.semanticscholar.org/paper/fefc54822d6925abee158cecf187c5f522f5273c
6230826860add82d87cc3f8722c8d702ff90829e,"A Study on the Relationship between AI Anxiety and AI Behavioral Intention of Secondary School Students Learning English as a Foreign Language","Fangchen Wen; Yushun Li; Ying Zhou; Xin An; Qinghua Zou",2024,,"Journal of Educational Technology Development and Exchange",13,Semantic Scholar,"Artificial Intelligence (AI) provides new tools and approaches for English as a Foreign Language (EFL) learning, yet it also brings new risks and challenges, such as AI anxiety. With the gradual adoption of AI in EFL learning, AI anxiety has brought about a variety of issues. In order to help educators understand students’ concerns and promote the use of AI for secondary school students’ EFL learning, this study took the Unified Theory of Acceptance and Use of Technology (UTAUT) and relevant aspects of AI anxiety as the theoretical foundation. Subsequently, this study analyzed the situation of AI anxiety among secondary school students and its relationship with students’ Behavioral Intention to use AI EFL learning tools. Data were collected through an online platform, with 293 valid responses from secondary school students in Beijing, China. Confirmatory Factor Analysis (CFA) and Structural Equation Modeling (SEM) were used to analyze the data. The validity and reliability of the scale were satisfied with nine constructs: Performance Expectancy, Effort Expectancy, Social Influence, Facilitating Conditions, Behavioral Intention, AI Learning Anxiety, Job Replacement Anxiety, Sociotechnical Blindness Anxiety, and AI Configuration Anxiety. The results indicated: (1) Performance Expectancy, Effort Expectancy, Social Influence and Facilitating Conditions could all positively predict Behavioral Intention in different degrees, and Social Influence had the strongest effect; and (2) AI Learning Anxiety and Job Replacement Anxiety might indirectly and negatively predict Behavioral Intention through intermediate variables. Based on the analysis, the study suggests that educators should not only cultivate students’ AI literacy through comprehensive AI education, but also guide students to form correct emotions through scientific psychological interventions so that they can better use AI EFL learning tools.",https://www.semanticscholar.org/paper/6230826860add82d87cc3f8722c8d702ff90829e
b72c37a343fc69da8d94cb2640e147b93088922d,"The Roles of Social Perception and AI Anxiety in Individuals’ Attitudes Toward ChatGPT in Education","Chengcheng Wang; Xing Li; Zheng Liang; Yingying Sheng; Qingbai Zhao; Shi Chen",2024,2024-06-21,"International journal of human computer interactions",12,Semantic Scholar,"Abstract Public attitudes are essential for technology promotion and policy formulation. The present study investigated the Chinese public’s knowledge of ChatGPT, as well as examined the roles played by Big-Five personality traits, social perception, and AI anxiety in shaping the public’s attitudes toward ChatGPT using the questionnaire method. Results showed that: (1) Nearly, 1/3 of teachers surveyed did not know ChatGPT at all, and all of them were primary and secondary school teachers. (2) The level of knowledge about ChatGPT was significantly related to gender, educational level, teaching stage (in teacher samples), and major (in student samples). (3) The public’s positive attitude is higher significantly than the negative attitude. (4) Social perception positively predicted positive attitudes and negatively predicted negative attitudes. Moreover, a notably higher predictive power for positive attitudes compared to negative attitudes was demonstrated by social perception. There is an equally predictive effect of competence perception and warmth perception on attitudes, without any domain effect observed. (5) AI anxiety only positively predicted negative attitudes but did not impact positive attitudes. In explaining negative attitudes, AI anxiety exhibited a higher explanatory power compared to the Big-Five personality traits, primarily correlating with neuroticism. The findings indicate that it’s inappropriate to consider attitude evaluation toward AI as a single dimension. There are relatively independent components for positive and negative attitudes toward AI. The roles played by other predictive variables in attitudes are discussed.",https://www.semanticscholar.org/paper/b72c37a343fc69da8d94cb2640e147b93088922d
f5537b89acb3523ba0d08bfecb32616cbc29e328,"The influence of AI Anxiety and Neuroticism in Attitudes toward Artificial Intelligence","Dan Florin Stănescu; Marius Constantin Romașcanu",2024,2024-10-01,"European Journal of Sustainable Development",7,Semantic Scholar,"This paper examines the impact of AI anxiety and neuroticism on attitudes toward Artificial Intelligence (AI) through a quantitative approach. With the pervasive integration of AI technologies across diverse domains like social media platforms, smart devices, healthcare, and education, gaining insight into how individuals perceive and engage with AI becomes essential. A sample of 197 participants (32 males, and 165 females) completed surveys assessing their levels of AI anxiety, neuroticism, and attitudes toward AI. The data were collected via Google Forms using the following structured questionnaires: Artificial Intelligence Anxiety Scale (AIA), Artificial Intelligence Attitude Scale (AIAS-4), and Neuroticism Scale. The findings indicate significant negative correlations between AI anxiety (r=-.286, p<.01), neuroticism (r=-.196, p<.01), and attitudes toward AI, suggesting that individuals with higher levels of AI anxiety and neuroticism are inclined towards adopting more skeptical viewpoints regarding AI technologies. Moreover, the AI anxiety subscales (learning, r=-.152, p<.05; job replacement, r=-.257, p<.01; sociotechnical blindness, r=-.302, p<.01, and AI configuration, r=-.256, p<.01) also showed negative significant correlations with the attitudes toward AI. At the same time, neuroticism showed significant positive correlations with the composite score of AI anxiety (r=.301, p<.01) and all its subscales (learning, r=.219, p<.01; job replacement, r=.250, p<.01; sociotechnical blindness, r=.226, p<.01, and AI configuration, r=.277, p<.01). Understanding the role of AI anxiety and neuroticism in shaping attitudes toward AI can inform the development of strategies to mitigate negative perceptions and foster more positive attitudes toward AI technologies 
  
  
Keywords: artificial intelligence, anxiety, neuroticism, mediation",https://www.semanticscholar.org/paper/f5537b89acb3523ba0d08bfecb32616cbc29e328
d23f07b766e656c24b7b3db42ad3527a4fcfab03,"An Alien in the Newsroom: AI Anxiety in European and American Newspapers","Pablo Sanguinetti; B. Palomo",2024,2024-11-07,"The social science",7,Semantic Scholar,"The media portrayal of artificial intelligence (AI) directly impacts how audiences conceptualize this technology and, therefore, its use, development, and regulation. This study aims to measure a key aspect of this problem: the feeling of AI anxiety conveyed by news outlets that represent this technology as a sort of “alien” that is autonomous, opaque, and independent of humans. To do so, we build an AI anxiety index based on principal component analysis (PCA) and apply it to a corpus of headlines (n = 1682) about AI published before and after the launch of ChatGPT in ten newspapers: The New York Times, The Guardian, El País, Le Monde, Frankfurter Allgemeine Zeitung, San Francisco Chronicle, Manchester Evening News, La Voz de Galicia, Ouest France, and Münchner Merkur. The results show that ChatGPT not only boosted the number of AI headlines (× 5.16) but also reduced positive sentiments (−26.46%) and increased negatives (58.84%). The AI anxiety index also grew (10.59%), albeit driven by regional media (61.41%), while it fell in national media (−6.82%). Finally, the discussion of the variables that compose the index reveals the opportunities and challenges faced by national and regional media in avoiding the feeling of AI anxiety.",https://www.semanticscholar.org/paper/d23f07b766e656c24b7b3db42ad3527a4fcfab03
ce683434e29fbdf37e6e44759b997e465416e198,"The Technostress of ChatGPT Usage: How Do Perceived AI Characteristics Affect User Discontinuous Usage Through AI Anxiety and User Negative Attitudes?","Tingwan Zhang; Qingyan Tong",2024,2024-11-22,"International journal of human computer interactions",4,Semantic Scholar,"Abstract As artificial intelligence (AI) systems become increasingly integrated into daily life, this study investigates the negative impacts of AI usage and how perceived AI characteristics influence user discontinuance through AI anxiety and negative attitudes. Focusing on ChatGPT users, it adopts the technostress framework to examine relationships between perceived AI characteristics, technostress (AI anxiety), strains (user negative attitudes), and behavioral outcomes (user discontinuous usage). Results show that (1) perceived intelligence and anthropomorphism are antecedents of AI anxiety, (2) AI anxiety influences discontinuance intentions via negative attitudes, and (3) AI anxiety mediates the link between AI characteristics and users’ psychological and behavioral responses. This study contributes to AI usage and technostress research by identifying drivers of discontinuance and deepening understanding of AI anxiety, distrust, and dissatisfaction. Findings provide actionable insights for AI designers to balance functionality with user perceptions and for policymakers to enhance AI literacy, reducing anxiety and promoting healthy AI engagement.",https://www.semanticscholar.org/paper/ce683434e29fbdf37e6e44759b997e465416e198
6244f6512cf48b2319b2219c164660e7b0b92e96,"Explore the AI Anxiety Attitude of E-Commerce Employees","Shuai Chen; Yang Zhao",2024,2024-10-07,"International journal of human computer interactions",5,Semantic Scholar,"Abstract With the rapid development and widespread application of artificial intelligence (AI) technology in the e-commerce industry, understanding practitioners’ attitudes and psychological reactions to AI has become critical. This study explores the impact of AI on the anxiety of e-commerce professionals, establishes a structural equation model by constructing an integrated Artificial Intelligence Anxiety (AIA) framework, and analyzes the path relationships between various anxiety factors. The results show that Learning Anxiety and Job Replacement Anxiety are associated with Existential Risk Anxiety, AI Configuration Anxiety, and Sociotechnical Blindness Anxiety. The study further extends its analysis using a machine learning algorithm to assess the impact of each AIA variable and individual variables on job optimism. The results indicate that among the AIA variables, Job Replacement Anxiety has a significant negative impact on job optimism, while among the individual variables, gender has a significant negative impact. This study provides important insights into understanding the AI-related anxiety of e-commerce practitioners and offers implications for the management and development of AI in practice.",https://www.semanticscholar.org/paper/6244f6512cf48b2319b2219c164660e7b0b92e96
da97df778fa80456e49a86183aa555a5c66030ed,"Impact of AI Anxiety on Educators Attitudes Towards AI Integration","Michael Christian; Guan Nan; Kurnadi Gularso; Yuli Kartika Dewi; Sunarno; Suryo Wibowo",2024,2024-08-07,"International Conference on Communications and Information Technology",4,Semantic Scholar,"The present progress in implementing artificial intelligence (AI) has encountered attitudes in human existence, encompassing both professional and everyday aspects, particularly within higher education. AI does not exclude those with anxiety, especially social anxiety, over the existence of technology and all types of complexity. Several types of research have established a correlation between social and technical blindness and views toward broad AI usage. However, no specific gender or age-generation characteristics have been identified. This study employs quantitative research methodology, specifically Smart-PLS software for PLS-SEM modelling. The research included a sample of 93 lecturers, both male and female, from generations X and Y in Indonesia. The findings of this study demonstrate that social technical blindness detrimentally impacts individuals’ views toward the utilization of AI. From a gender standpoint, the path coefficients have no notable disparity. Therefore, the path coefficients for both women and men are not significantly distinct. Consequently, the need for greater awareness and understanding of AI’s social and technological aspects impacts both women and men. This research provides practical implications by enhancing instructors’ comprehension and perception of AI’s efficacy, aiming to mitigate prevailing concerns. In theory, this research enhances the concept of self-determination theory. Subsequent investigations can include the constraints of this study, such as the specific nature and duration of artificial intelligence utilization.",https://www.semanticscholar.org/paper/da97df778fa80456e49a86183aa555a5c66030ed
6fb5ca0ff6821a92b080d0654d245d2407484701,"The Roles of Personality Traits, AI Anxiety, and Demographic Factors in Attitudes toward Artificial Intelligence","Feridun Kaya; F. Aydın; A. Schepman; P. Rodway; Okan Yeti̇şensoy; Meva Demir Kaya",2022,2022-12-07,"International journal of human computer interactions",337,Semantic Scholar,"Abstract The present study adapted the General Attitudes toward Artificial Intelligence Scale (GAAIS) to Turkish and investigated the impact of personality traits, artificial intelligence anxiety, and demographics on attitudes toward artificial intelligence. The sample consisted of 259 female (74%) and 91 male (26%) individuals aged between 18 and 51 (Mean = 24.23). Measures taken were demographics, the Ten-Item Personality Inventory, the Artificial Intelligence Anxiety Scale, and the General Attitudes toward Artificial Intelligence Scale. The Turkish GAAIS had good validity and reliability. Hierarchical Multiple Linear Regression Analyses showed that positive attitudes toward artificial intelligence were significantly predicted by the level of computer use (β = 0.139, p = 0.013), level of knowledge about artificial intelligence (β = 0.119, p = 0.029), and AI learning anxiety (β = −0.172, p = 0.004). Negative attitudes toward artificial intelligence were significantly predicted by agreeableness (β = 0.120, p = 0.019), AI configuration anxiety (β = −0.379, p < 0.001), and AI learning anxiety (β = −0.211, p < 0.001). Personality traits, AI anxiety, and demographics play important roles in attitudes toward AI. Results are discussed in light of the previous research and theoretical explanations.",https://www.semanticscholar.org/paper/6fb5ca0ff6821a92b080d0654d245d2407484701
